고유번호,Title,Content
16,안구 탈출,사고나 싸움 등이 원인이 되어 안구가 눈꺼풀 밖으로 튀어나온 상태이다. 눈의 표면이 건조하거나 화농화되어 조직이 괴사하기도 한다. 치료방법으로 증상이 가벼우면 안구를 소독세정하고 냉각시켜 붓기를 가라앉히고 원래대로 돌린다. 심한 경우에는 눈꺼풀의 일부를 절개하여 집어넣어야 하며 중도의 손상이 있을 때에는 안구를 적출해야 하는 경우도 있다.
17,결막염,"눈꺼풀 안쪽, 뒤집은 것처럼 보이는 곳이 안검결막이다. 그 점막이 염증을 일으키는, 눈의 질병에서는 가장 흔히 발견되는 질환이다. 치료방법으로는 원인을 파악하고 치료하고 눈을 세정한 후 점 안약을 넣고 연고를 바른다."
18,유루증,일반적으로 비루관을 통해 코로 흘러내려야 하는 눈물이 코로 배출되지 못하고 눈으로 끊임없이 넘쳐나는 상태이다. 치료방법으로 다른 질환이 원인이라면 그 병부터 치료한다. 염증인 경우에는 항생물질을 투여한다. 누점이나 누관을 세정하는 경우도 있다.
19,체리아이,아랫눈꺼풀 안쪽의 안구를 보호하는 막에 있는 제삼안검선이 돌출되는 질환이다. 치료방법으로는 튀어나온 제삼안검을 원래 위치로 돌려놓고 봉합한다. 절제해야 하는 경우도 있다
20,디스템퍼(강아지 홍역),"디스템퍼는 강아지 홍역으로 소화기, 중추신경계 등에 영향을 주어 사망까지 이를 수 있습니다. 반려간의 감염 빈도도 매우 높으므로 반드시 예방접종을 하여야 하며 반려견이 사용하는공간의 소독도 필요합니다. 격리 치료가 필수이며 효과적인 치료약이 없기 때문에 증상에 따라 약을 투여 방식으로 꾸준한 치료를 해야 합니다."
21,안검내반.외반,"안검내반은 눈꺼풀과 속눈썹이 안쪽으로 감겨 있는 상태이다. 반대로 아랫눈꺼풀이 뒤집혀 있는 것처럼 바깥쪽으로 말려 있는 것이 안검외반이다. 치료, 간호방법으로는 결막염 등의 질환을 병발하는 경우가 많기 때문에 일단 그 질환부터 치료한다. 그 후 속눈썹을 뽑거나 연고를 발라서 대응한다. 내반, 외반 모두 중증인 경우에는 수술로 치료하는 것이 일반적이다."
22,당뇨병,"당뇨병은 췌장에서 인슐린이 제대로 분비되지 않아 발생하는 질병으로, 과식 또는 유전적인 요인과 노화로 인해 발생합니다. 치료방법은 사람과 매우 유사하게 식단관리, 인슐린 치료와 매일 정해진 시간대 운동, 정기적 검사를 통한 보호자의 꾸준한 혈당관리로 개선될 수 있습니다."
23,척추 질환,"척추질환은 반려견이 너무 마르거나 비만이여서 뼈에 손상이나 무리가 올 경우, 또는 과격한 운동으로 인해 발생합니다. 스테로이드제나 레이저로 통증을 완화해 주는 수술 또는 치료를 꾸준히 하셔야 합니다."
24,위확장-염전,"위확장(염전)은 가스가 많이 차서 위가 부풀어 올라 생기는 질병입니다. 혈관이 막히기 때문에 사망에 이를 수 있어, 반드시 신속하게 응급병원을 방문하셔야 합니다.."
25,피부 질환,"반려견의 피부질환은 원인이 매우 다양하고 치료가 어려운 경우가 많습니다. 따라서 발병 초기에변화를 인지하여 대처하는 게 매우 중요합니다. 대표적인 질환으로는 음식물과 환경으로 인한 '알레르기', 습기로 인한 '곰팡이균', 면역력 저하로 인한 '모낭염', 물집이 차는 '농가진', 기생충으로 인한 '개선충', 벌레로 인한 '습진성 피부염' 등이이 있으며, 발병시 꾸준한 연고 치료를 하셔야 합니다."
26,항문낭 질환,항문낭 질환은 항문낭은 항문 양 옆에 냄새나는 액체가 들어있는 주머니를 말하며 이 곳에 배변시 액체가 배출되지 않아 발병하는 염증 증상이다. 일반적으로 항생제 투여 방법으로 치료합니다.
27,직장 탈출증,"직장탈출증은 반려견 항문에 원통형으로 붉은 덩어리가 돌출되는 질병으로 직장에 질병이 있거나 기생층에 감염된 경우, 변비, 항문 주변 신경 손상, 암컷의 출산의 경우 발생합니다. 항생제 투여와 수술로 치료합니다."
28,기생충 감염,기생충 감염은 감염된 반려동물이 배설한 변 속의 기생충 알을 핥거나 먹으면 감염되는 된다.  모기 유충에 의해 심장에 기생하는 회충인 '심장사상충' 대표적인 질병으로 발병시 구충약 투여와 항생제 투여를 통해 치료합니다.
29,항문 주위 선종,항문 주위 선종은 남성호르몬과 관련되어 있으므로 대체로 중성화 수술을 하지 않은 중고령의 수컷에게 흔히 발병하는 질환입니다.  항문 주위에 종기의 수가 커지거나 늘어날 수 있으니 조기에 수술하는 것이 좋습니다.  드물지만 암컷에게 생기는 경우도 있으므로 주의해야 합니다.
30,간염,"반려견의 간염은 전염성을 수반하는 바이러스 인해 발생하는 질병으로 예방 접종을 하지 않은 대부분의 경우 많이 발생합니다. 증상이 심한 경우 생명을 잃을 수도 있다. 다른 가축과 야생동물 등에 전염성이 매우 높은 질병이므로  백신접종이 최선의 예방이며, 2차 감염 예방을 위해 항생제 투여를 실시 해 주는것이 좋습니다."
31,뇌 및 신경계 손상,"뇌, 신경계 손상은 추간판탈출증이라고도 하는데, 다스훈트, 시츄, 토이푸들 등 다리가 ㅤㅉㅏㄻ은 아기들 한테 자주 나타나는 질병입니다 심한 움직임으로 인한 부상이 원인이며, 최기는 스테로이드 소염제로 치료하고,  심한 경우에는 외과적 수술이 필요합니다."
32,치매,"치매는 사람과 같이 나이가 들어 발생하는 질병으로 대형견은 7살, 소형견은 10살이 넘을 즈음 주로 나타납니다. 인지장애가 대표적인 증상이며, 적절한 약물투여와 보조제, 상황 인지능력을 향상시키는 산책, 입에 자극을 유도할 수 있는 큰 사이즈의 사료로 교체, 그리고 배변을 실수하더라 혼내지 않는 사랑스러운 마음을 가지신다면 진행을 늦추거나 상태가 호전될 수 있습니다."
33,전정기관 손상,"전정기관은 귀 안쪽에 있으며 몸의 평형감감각을 유지해 주는 기관이다. 중이염이 유발되기도 하고 어지럼증으로 인한 구토와 영양 불균형 현상도 ㅤㅂㅏㅀ생할 수 있다. 특별한 치료법은 없으며, 추가적인 감염을 억제하는 증상별 보조 치료가 필요하다."
34,소뇌손상,"소뇌는 신체의 운동기능을 조절하며 동시에 평형감각을 유지하는 기능을 하는데, 소뇌가 손상된 경우에는 갑작스럽게, 중심을 잘 못잡고 휘청거리면서 걸으며, 쓰러지는 증상을 보이기도 합니다. MRI 검사 결과를 기바능로 지속적인 추적 치료가 필수입니다."
35,척추손상,"낙상, 교통사고가 원인인 경우 많으며, 척의 뼈 사이에 존재하는 추간판이 외부의 충격으로 손상을 입게된 경우 발생, 강아지의 신체 특성상 앞다리에 체중이 많이 쏠려 2차 질환 및 전신마비로 증상이 악화될 수 있으니, 신속한 ㅤㅂㅑㅇ원 검사 및 진료가 필요합니다."
36,디스템퍼(강아지 홍역),"디스템퍼는 강아지 홍역으로 소화기, 중추신경계 등에 영향을 주어 사망까지 이를 수 있습니다. 반려간의 감염 빈도도 매우 높으므로 반드시 예방접종을 하여야 하며 반려견이 사용하는공간의 소독도 필요합니다. 격리 치료가 필수이며 효과적인 치료약이 없기 때문에 증상에 따라 약을 투여 방식으로 꾸준한 치료를 해야 합니다."
37,간 질환,반려견도 사람과 같이 간은 해독작용을 하는 기관입니디. 증상이 뚜렷하지 않고 다양한 합병증을 수반하므로 주기적인 건강점진과 외부 음식에 대한 섭취에 각별히 신경을 써야 예방할 수 있습니다.
38,파보바이러스 장염,"파보바이러는 세포를 주로 공격하는 바이러스로, 소장, 림프 형성 조직 및 골수에서 복제되어 위장 및 심장 질환을 일으킵니다. 반려견간의 감영이나 산책 중 대변에 의해 전염되기도 합니다. 적절한 치료법은 예방접종이며 약물과 영양제 투여 및 구충제 투여로 집중적인 치료를 해야 합니다."
39,심장사상충 감염,"심장사상충은 모기가 전파하는 기생충성 전염병, 기침 증상으로 성충이 된 심사사상충이 반려견의 심장과 혈관에 번식하여 사망까지 이르게 합니다. 사망률도 매우 높고 뚜렷한 치료방법이 없어 한달에 한 번 꼴로 주기적인 예방을 하는 것이 최선의 방법입니다. 초기 약물치료가 가능하나, 증상이 심할 경우 외과적 수술도 고려하셔야 합니다."
40,심장질환,"반려견에게 자주 발생하는 심장질환은 이첨판 또는 삼첨판 폐쇄부전이라고 불리는 심장 판막질환이 70~75%로 가장 많고, 8%는 심근질환입니다. 정기적인 심장 검사를 통해 예방할 수 있습니다."
41,망막박리,"망막박리는 망막과 맥락막 사이에 염증 발생하거나 두부에 충격으로 인해 발생하는 질병으로, 검안경을 사용하여 안저 검사 후 수술을 통해 치료합니다."
42,녹내장,"녹내장은 노견 또는 눈의 손상이나 다른 안과 질환으로 유전적인 원인으로 발생하는 경우가 많고, 기본적인 치료로는 안압을 낮추는 것과 약물투여 통해 치료합니다."
43,백내장,"백내장은 노화 또는 유전적인 요인으로 발생하는 질병으로 
약물치료와 수술 및 초음파 치료합니다."
44,분리불안증,혼자 있는 것에 극도의 불안과 스트레스를 느끼는 반려견의 정신적인 병 중 하나입니다. 치료에는 행동요법과 약물요법이 있습니다. 약물요법은 행동 요법의 보조수단으로 혼자 있는 시간을 점차점차 늘리는 꾸준한 행동요법을 통해 치료할 수 있습니다.
45,세균 및 바이러스 감염,"반려견이 콧물이 나는 경우 가장 흔한 원인은 바이러스, 세균, 진균 등에 의한 감염이다. 일반 엑스레이 및 치과 엑스레이검사, 비강 내시경검사, CT검사, 콧물의 세균/곰팡이 배양검사 및 세포학검사, 비강점막 조직검사 등 여러 검사를 통해 비교적 정확한 원인을 찾을 수 있다. 검사 이후에는 일반적으로 항생제, 항진균제, 소염제 등의 약물처방으로 치료를 합니다."
46,비염,"비염은 바이러스나 세균, 곰팡이의 일종인 진균에 감염되거나 알레르기가 원인이 되어 발병하는 질병으로 항생물질이나 소염제를 투여를 통해 치료합니다."
47,혈액응고 장애,"반려견의 피부, 항문, 생식기 부분에 반상출혈이 확인되는 경우 혈액 응고 장애를 의심해 볼 수 있습니다. 혈액 검사를 통해 혈소판 상태를 확인하고 중성화 수술과 약물치료로 증상을 호전시킬 수 있습니다."
48,종양,"반려견에게 발병하는 주요 종양은, 가장 흔희 생기는 유선종양, 말랑말랑한 혹 덩어리가 생기는 지방종, 피부종양인 비만세포종, 혈관 내비 세포의 악성 종양인 혈관 육종, 림프절이 확장하는 림프종 등 그 종류가 매우 다양합니다. 종양의 종류와 시기에 따라 수술과 꾸준한 항암치료로 상태가 호전될 수 있습니다."
49,폐수종,"폐수종은 폐 속에 액체가 차서 공기가 제대로 순환하지 못해 호흡 곤란을 유발하는 질병으로, 폐렴이나 심장질환 등이 원인이며, 세균 감염이나 극도의 스트레스, 급격한 운동 등으로 발병합니다. 뚜렷한 예방법이 없기 때문에 주기적인 검사를 통해 예방하셔야 합니다."
50,혈소판 감소증,"출혈이 생겼을 때 혈액을 응고시키는 작용을 하는 혈소판이 감소하여 생기는 질병입니다. 완치는 불가능하지만 치료에 따라 증상을 완화시킬 수 있습니다. 빈혈이 심할 때에는 수혈을 하는 것이 좋지만, 혈액형이 적합하고 혈액을 제공하는 개가 가까이 있어야만 가능합니다. 치료는 장기간에 걸쳐 진행되는 경우가 종종 있습니다."
51,부비강염,비염이 장기화되어 발생하는 만성적인 질환입니다. 치료방법은 비염과 마찬가지로 소염제나 항생물질을 투여합니다. 심한 경우에는 튜브 등을 통해 부비강을 세정하는 방법도 있습니다.
52,디스템퍼(강아지 홍역),"디스템퍼는 강아지 홍역으로 소화기, 중추신경계 등에 영향을 주어 사망까지 이를 수 있습니다. 반려간의 감염 빈도도 매우 높으므로 반드시 예방접종을 하여야 하며 반려견이 사용하는공간의 소독도 필요합니다. 격리 치료가 필수이며 효과적인 치료약이 없기 때문에 증상에 따라 약을 투여 방식으로 꾸준한 치료를 해야 합니다."
53,켄넬코프,"개의 전염성 기관지염으로 '개가 걸리는 감기' 입니다. 치료방법은 바이러스에 효과적인 약이 없기 때문에 기침을 가라앉히기 위한 치료를 중심으로 항생물질 등을 투여합니다. 가정에서는 보온이나 환기에 주의를 기울이고, 폐렴으로 전이되지 않도록 주의하고 컨디션이 좋지 않을 때에는 개가 모여 있는 곳에 데려가지 않도록 합니다."
54,비염,"비염은 바이러스나 세균, 곰팡이의 일종인 진균에 감염되거나 알레르기가 원인이 되어 발병하는 질병으로 항생물질이나 소염제를 투여를 통해 치료합니다."
55,부비강염,비염이 장기화되어 발생하는 만성적인 질환입니다. 치료방법은 비염과 마찬가지로 소염제나 항생물질을 투여합니다. 심한 경우에는 튜브 등을 통해 부비강을 세정하는 방법도 있습니다.
56,종양,"반려견에게 발병하는 주요 종양은, 가장 흔희 생기는 유선종양, 말랑말랑한 혹 덩어리가 생기는 지방종, 피부종양인 비만세포종, 혈관 내비 세포의 악성 종양인 혈관 육종, 림프절이 확장하는 림프종 등 그 종류가 매우 다양합니다. 종양의 종류와 시기에 따라 수술과 꾸준한 항암치료로 상태가 호전될 수 있습니다."
57,종양,"반려견에게 발병하는 주요 종양은, 가장 흔희 생기는 유선종양, 말랑말랑한 혹 덩어리가 생기는 지방종, 피부종양인 비만세포종, 혈관 내비 세포의 악성 종양인 혈관 육종, 림프절이 확장하는 림프종 등 그 종류가 매우 다양합니다. 종양의 종류와 시기에 따라 수술과 꾸준한 항암치료로 상태가 호전될 수 있습니다."
58,연구개과장증,퍼그나 시츄 등 코가 납작한 단두종에서 흔히 나타납니다.  목의 인후두부에 있는 덮개가 보통의 강아지보다 늘어져서 기도로 공기를 보내는 것을 방해하는 것이 원인입니다. 일상생활에 지장을 주지 않으면 크게 걱정하지 않아도 되지만 혀가 보라색이 되고 호흡곤란이 반복적으로 일어나는 경우 절제 수술을 필요로 합니다. 기침을 동반한다면 심장 질환일 수 있으니 정확한 검진을 받아보셔야 합니다.
59,췌장염,"췌장염은 비만과 고지방 사료나 사람이 먹는 음식, 호르몬 질환 또는 당뇨, 간염, 소화기 염증등 다양한 원인으로 발생하는 질병으로 수액요법으로 정맥에 주입하여 치료합니다."
60,위궤양,위궤양은 비만 세포증이나 신부전 등에 의해 발생하는 질병으로 구토를 자주하는 증상이 관찰된다. 의심 증상 발견시 위내시경 검사 후 약물치료 또는 수술로 치료합니다.
61,치주염,"치주염은 치석이 쌓여 염증 발생으로 생기는 질환이다. 반려견에 자주 걸리는 질병으로 
스케일링 후 흔들리는 치아를 발치하는 치료를 합니다."
62,케톤증,케톤증은 당뇨병을 방치할 경우 발생하는 질병으로 몸에 있는 탄수화물을 제대로 사용을 못하고 많은 양의 지방을 분해할 때 케톤이라는 물질이 다량 생성되어 심각한 전신질환을 유발한다. 정기적인 검사와 집중적인 치료를 요하는 질병입니다.
63,타액낭종,"얼굴에 있는 침샘 또는 침샘의 도관이 막혀 고여있거나 터져서  피부 아래(턱, 혀, 인두 아래)에 침이 고여있는 것입니다.  원인은 외부 창상 또는 특발성이며, 통증을 유발하진 않으나  아이가 음식물을 삼키는 것이 어려우며, 종종 호흡곤란이나 구토를 유발할 수 있습니다. 점액종에 충격을 받을 시 피를 흘리거나 식욕부진을 보일 수 있으니 주의하셔야 합니다. 종괴는 배액 하거나 개방창을 만들고 침샘을 제거하여 치료합니다."
64,당뇨병,"당뇨병은 췌장에서 인슐린이 제대로 분비되지 않아 발생하는 질병으로, 과식 또는 유전적인 요인과 노화로 인해 발생합니다. 치료방법은 사람과 매우 유사하게 식단관리, 인슐린 치료와 매일 정해진 시간대 운동, 정기적 검사를 통한 보호자의 꾸준한 혈당관리로 개선될 수 있습니다."
65,쿠싱증후군,"쿠싱증후근은 공팥 위에 있는 부신이라는 기관이 호르몬을 분비하는데, 이 호르몬이 과다 분비되어 발생하는 질병입니다. 종양이나 종종 멍이드는 것도 관찰될 수 있으먀, 스테로이드 약물 복용으로도 발병할 수 있으며, 정확한 검사를 통해 수술이나 약물로 치료할 수 있습니다."
66,신부전,"신부전증은 신장의 일부 기능에 문제가 생겨 나타나는 증상으로 급성과 만성으로 나울 수 있습니다. 급성 신부전증은 비교적 치료가 쉬우나 만성 신부전증은 신장의 대부분이 망가진 상태라 회복이 어려운 경우도 종종 있습니다. 원인은 당뇨병이나 요로가 막혀 생기는 경우가 있으며, 사람이 먹은 음삭을 먹어 생기는 경우도 있으니, 꾸준한 검사와 보호자의 관심이 필요합니다."
67,복막염,"복막염은 위, 소장 그리고 대장과 같은 여러 장기들이 자리잡고 있는 복강을 둘러싸고 있는 얇은 막에 염증이 생겨 발생하는 질병으로, 통증이 심한 경우가 많기 때문에 굉장히 예민해져 있는 경우가 많습니다. 발병신 신속한 수술을 요하는 질병입니다."
68,구강종양,"구강종양은 특별한 원인이 없이 단지 노화가 되면서 발생하는 질병으로, 정기적인 검진이 꼭 합니다.강아지에게 자주 발생하는 종양 중에는 잇몸에 생기는 종양, 치은종이 대표적이며 스케일링과 발치 수술로 치료합니다."
69,식도질환,"식도증상이 심할 경우는 반려견이 구토 증상보이는데, 구토물은 확인해 보면 혈액이 희석이 안되었으므로 본래의 음식물 형태를 띱니다. 식도 조영이나 내시경으로 진단후 관찰 치료를 합니다."
70,구강질환,"반려동물은 사람과 달리 매일 양치질을 안하므로 다양한 구강질환을 겪습니다. 이러한 치주질환은 잇몸에 염증이 생기는 '치은염', 치은염 치료를 제 대 안 할시 생기는 '치주염' 등이 대표적이며 스케링을 기본으로 진행하고 심한 경우는 발치 치료가 필요합니다. 치은염과 치주염이 심화될 경우 세균 감염에 의한 '치주농양'도 발병할 수 있으니 치과 진료가 반드시 필요합니다."
71,광견병,광견병은 광견병 바이러스에 의해 15-60일 간의 잠복기를 두고 발병하는 질병으로 사후 치료법은 없고 사망률이 거의 100%에 이르는 매우 위험한 질병입니다. 경련과 발작이 반복되어 반려견이 매우 고통스러워 합니다. 정기적인 예방접종 만이 최선의 치료입니다.
72,구내염,"구내염은 세균감염. 영양결핍, 상처 등에 의해 발병하는 질병으로, 통증이 심해질 경우 반려견이 제대로 음식물을 씹지 못할 정도로고통스러워 하는 질병이다. 치과적 진단 후 항생제 투여 또는 염증치료를 반드시 수반해야 합니다."
73,방광염,"방광염은 스트레스, 위생문제, 음수량 부족 등으로 발생하는 질병으로 재발율아 높습니다.  항생제 치료를 통해 증상을 호전 시킬 수 있습니다."
74,렙토스피라 감염증,개뿐만 아니라 대부분의 동물이 감염되는 질병으로 동물에게서 사람에게 감염되기도 합니다. 대부분은 증상이 나타나지 않지만 급성 증상이 나타난 경우에는 사망률이 높은 질병입니다. 항생물질을 투여하는 외에 신장이나 간장장애를 치료합니다. 습도가 높은 환경에서 쉽게 발생하므로 청결이나 위생에 신경 써야합니다. 사람에게 감염될 우려가 있으므로 간호 후에 소독을 충분히 해야합니다. 하지만 이 질병은 백신으로 예방할 수 있습니다.
75,장폐색,"장폐색은 위에서 내려온 내용물이 장에서 막히는 질환으로, 증상이 심하면 내용물이 전혀 움직이지 않기 때문에 사망에 이르기도 합니다. 탈수증상이나 쇼크증상을 치료로 가라앉히고, 상태가 안정된 후에는 한시라도 빨리 개복수술을 해야 합니다. 치료 후에는 일정 기간 절식시킨 후 수분보급, 유동식 순으로 급여합니다."
76,구강종양,"구강종양은 특별한 원인이 없이 단지 노화가 되면서 발생하는 질병으로, 정기적인 검진이 꼭 합니다.강아지에게 자주 발생하는 종양 중에는 잇몸에 생기는 종양, 치은종이 대표적이며 스케일링과 발치 수술로 치료합니다."
77,파보바이러스 장염,"파보바이러는 세포를 주로 공격하는 바이러스로, 소장, 림프 형성 조직 및 골수에서 복제되어 위장 및 심장 질환을 일으킵니다. 반려견간의 감영이나 산책 중 대변에 의해 전염되기도 합니다. 적절한 치료법은 예방접종이며 약물과 영양제 투여 및 구충제 투여로 집중적인 치료를 해야 합니다."
78,급성 간염,바이러스 감염이나 중독 등에 의해 간장이 장해를 받아 발생하는 질환입니다. 치료방법은 수액을 맞히거나 해독제를 투여해서 응급처지를 한 후 충분한 휴식과 영양을 공급해 간 기능 회복을 촉진시킵니다. 평소 고지방 식단을 피하고 양질의 단백질로 구성된 처방식을 주는 것이 좋습니다.
79,췌장염,"췌장염은 비만과 고지방 사료나 사람이 먹는 음식, 호르몬 질환 또는 당뇨, 간염, 소화기 염증등 다양한 원인으로 발생하는 질병으로 수액요법으로 정맥에 주입하여 치료합니다."
80,급성 신부전,"급성 신부전은 선천적인 경우 또는 독성물질 섭취, 감염, 심장질환, 부정맥, 탈수 등으로 발생하는 질병으로 혈액 투석으로 치료합니다."
81,자궁 축농증,자궁 축농증은 세균 감염으로 자궁에 농이 차는 질환으로자궁과 난소를 제거하는 수술로 치료합니다.
82,열사병,열사병은 반려견이 땀으로 체온을 조절하기 어려운 신체구조를 갖고 있기 때문에 생깁니다. 뜨겁고 환기가잘 안되는 공간에서 걸릴 확률이 높으며 몸의 온도를 내리기 위해 물을 뿌려주거나 적신 타월을 감싸주고 물을 최대한 많이 공급해 주어야 증상을 완화시킬 수 있습니다.
83,구내염 (반려묘),"혀나 잇몸에 궤양이 발생하는 질병으로 혀의 테두리를 따라 허는 듯한 모습으로 관찰되기도 합니다. 잇몸과 입술 등에도 나타납니다. 바이러스 질환이나 구강 세균, 면역 작용에 의한 것까지 원인은 다양합니다. 감염된 원인체를 확인하여 치료해야 합니다. 치과 치료를 병행하기도 하며  심한 경우 스케일링 및 발치에 이르는 치료가 필요할 수 있습니다."
84,치주 질환,초기에는 잇몸이 염증을 일으키는 잇몸염증이 되지만 점차 치주염으로 진행되고 이빨이 흔들리게 되어 빠지거나 고름이 고이며 원래 상태로는 돌아갈 수 없다. 치료방법은 입안을 청결하게 하고 치구를 제거한 후 필요에 따라 항생물질을 투여한다. 심할 경우에는 마취하에 치구나 치석을 제거하고 환부를 소독하여 항생물질이나 소독제를 투여한다
85,비염,"비염은 바이러스나 세균, 곰팡이의 일종인 진균에 감염되거나 알레르기가 원인이 되어 발병하는 질병으로 항생물질이나 소염제를 투여를 통해 치료합니다."
86,회충증,"개에게 가장 많이 존재하는 내장 기생충으로 개회충과 개소회충 두 종류가 있습니다. 특히 자견에게 많으며 대체로 어미의 뱃속에서 태내 감염되는데, 이 경우 신생아에게 이미 기생하고 있습니다. 치료방법은 구충약을 투여하고 항생제 등으로 체력회복을 도모해야합니다. 배변 후에는 변을 즉시 처리하는 등 위생에 신경 쓰는 것이 예방이 됩니다. 두물지만 사람이 감염되는 경우도 있으므로 특히 아이가 있는 집에서는 주의가 필요합니다."
87,췌외분비부전,"췌장에서 소화효소가 충분히 분비되지 않기 때문에 식욕이 왕성한데도 소화불량을 일으키고, 영양을 흡수하지 못해 체중이 감소하는 질병이다. 치료방법으로는 소화효소를 투여해서 보급하고 비타민 보충제 등으로 영양의 밸런스를 맞춰준다. 항생물질이나 스테로이드제를 처방하는 경우도 있다. 식사는 저지방으로 소화하기 쉬운 것을 조금씩 급여하도록 한다. 개가 과식을 하지 않도록 신경 쓴다."
88,자궁 축농증,자궁 축농증은 세균 감염으로 자궁에 농이 차는 질환으로자궁과 난소를 제거하는 수술로 치료합니다.
89,당뇨병,"당뇨병은 췌장에서 인슐린이 제대로 분비되지 않아 발생하는 질병으로, 과식 또는 유전적인 요인과 노화로 인해 발생합니다. 치료방법은 사람과 매우 유사하게 식단관리, 인슐린 치료와 매일 정해진 시간대 운동, 정기적 검사를 통한 보호자의 꾸준한 혈당관리로 개선될 수 있습니다."
90,요붕증,소변의 과다배출을 막는 호르몬에 이상이 생기거나 신장에 문제가 있기 때문에 물을 많이 먹고 소변을 많이 보는 다음다뇨가 되는 질병이다. 치료방법은 약물로 치료할 수 있다. 치료를 계속하면 탈수증상을 일으키지 않도록 음수량을 조절해야 한다
